PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHOS LEVEL1 (millimole/m3),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-11-01T21:00:00Z,50.7405,1.5677,15.117,0.038,,0.006,28.357,0.04,0,0.1,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-01T21:20:01Z,50.7405,1.5677,15.121,0.038,,0.006,28.357,0.04,0,0.383,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-01T21:40:00Z,50.7405,1.5677,15.091,0.038,,0.006,28.357,0.04,0,2.55,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-01T22:00:01Z,50.7405,1.5677,15.019,0.038,,0.006,28.357,0.04,0,0.374,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-01T22:20:00Z,50.7405,1.5677,14.994,0.038,,0.006,28.357,0.04,0,0.394,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-01T22:40:00Z,50.7405,1.5677,14.982,0.038,,0.006,28.357,0.04,0,0.301,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T01:00:00Z,50.7405,1.5677,14.934,0.038,,0.006,28.357,0.04,0,0.276,61,,0.648,,0,77.41,0011114941101191941
6200443,0x3f,2024-11-02T01:20:00Z,50.7405,1.5677,14.925,0.038,,0.006,28.357,0.04,0,0.093,61,,0.66,,0,76.148,0011114941101191941
6200443,0x3f,2024-11-02T01:40:00Z,50.7405,1.5677,14.921,0.038,,0.006,28.357,0.04,0,0.002,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T02:00:00Z,50.7405,1.5677,14.893,0.037,,0.006,28.357,0.04,0,0.222,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T02:20:00Z,50.7405,1.5677,14.876,0.037,,0.006,28.357,0.04,0,0.204,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T02:40:00Z,50.7405,1.5677,14.856,0.038,,0.006,28.357,0.04,0,0.29,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T03:00:00Z,50.7405,1.5677,14.824,0.039,,0.006,28.357,0.04,0,0.457,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T03:20:00Z,50.7405,1.5677,14.858,0.039,,0.006,28.357,0.04,0,0.282,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T03:40:00Z,50.7405,1.5677,14.874,0.038,,0.006,28.357,0.04,0,0.285,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T04:00:01Z,50.7405,1.5677,14.864,0.038,,0.006,28.357,0.04,0,0.582,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T04:20:00Z,50.7405,1.5677,14.845,0.038,,0.006,28.357,0.04,0,0.219,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T04:40:00Z,50.7405,1.5677,14.796,0.038,,0.006,28.357,0.04,0,0.252,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T05:00:00Z,50.7405,1.5677,14.808,0.038,,0.006,28.357,0.04,0,0.271,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T05:20:00Z,50.7405,1.5677,14.739,0.038,,0.006,28.357,0.04,0,0.312,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T05:40:00Z,50.7405,1.5677,14.69,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T06:00:00Z,50.7405,1.5677,14.64,0.038,,0.006,28.357,0.04,0,0,61,,0.635,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T06:20:01Z,50.7405,1.5677,14.625,0.038,,0.006,28.357,0.04,0,0.14,61,,0.635,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T06:40:00Z,50.7405,1.5677,14.701,0.038,,0.006,28.357,0.04,0,0.126,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T07:00:01Z,50.7405,1.5677,14.802,0.036,,0.006,28.357,0.04,0,0.064,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T07:20:00Z,50.7405,1.5677,14.869,0.036,,0.006,28.357,0.04,0,0.138,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T07:40:00Z,50.7405,1.5677,14.925,0.038,,0.006,28.357,0.04,0,0.066,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T08:00:00Z,50.7405,1.5677,14.98,0.038,,0.006,28.357,0.04,0,0.064,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T08:00:01Z,50.7405,1.5677,,,22.31,,1.4,,,,,,,,,,0011199097999999999
6200443,0x3f,2024-11-02T08:20:00Z,50.7405,1.5677,15.018,0.038,,0.006,28.357,0.04,0,0.084,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T08:40:00Z,50.7405,1.5677,15.043,0.037,,0.006,28.357,0.04,0,0.179,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T09:00:01Z,50.7405,1.5677,15.061,0.037,,0.006,28.357,0.04,0,0.068,61,,0.66,,0,0,0011114941101191943
