PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-12-02T07:00:01Z,50.7405,1.5677,10.84,31.417,,3.529,0.583,4.02,0,3.677,6887,,62.239,0,28.681,001111191110119141
6200443,0x3f,2024-12-02T07:20:00Z,50.7405,1.5677,10.843,31.468,,3.534,0.573,4.09,0,2.638,7024,,63.512,0,21.009,001111191110119141
6200443,0x3f,2024-12-02T07:40:00Z,50.7405,1.5677,10.838,31.598,,3.546,0.561,4.25,0,3.312,7296,,65.948,0,30.997,001111191110119141
6200443,0x3f,2024-12-02T08:00:00Z,50.7405,1.5677,10.829,31.628,,3.547,0.559,4.36,0,1.618,7493,,67.816,0,29.238,001111191110119141
6200443,0x3f,2024-12-02T08:00:01Z,50.7405,1.5677,,,23.603,,1.4,,,,,,,,,001119909799999999
6200443,0x3f,2024-12-02T08:20:00Z,50.7405,1.5677,10.841,31.649,,3.553,0.571,4.34,0,1.903,7456,,67.482,0,28.772,001111191110119141
6200443,0x3f,2024-12-02T08:40:00Z,50.7405,1.5677,10.845,31.755,,3.562,0.584,4.59,0,2.717,7889,,71.365,0,35.359,001111191110119141
6200443,0x3f,2024-12-02T09:00:01Z,50.7405,1.5677,10.846,32.088,,3.582,0.583,4.14,0,2.458,7122,,64.378,0,32.981,001111191110119141
6200443,0x3f,2024-12-02T09:20:00Z,50.7405,1.5677,10.839,31.986,,3.588,0.573,3.83,0,2.087,6591,,59.679,0,33.591,001111191110119141
6200443,0x3f,2024-12-02T09:40:01Z,50.7405,1.5677,10.845,32.097,,3.599,0.566,3.92,0,2.355,6751,,61.064,0,34.796,001111191110119141
