PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DRYT LEVEL-1 (degree_Celsius),ALTS LEVEL-1 (meter),ATMS LEVEL-1 (hectopascal),DEPH LEVEL-1 (meter),GDIR LEVEL-1 (degree),GSPD LEVEL-1 (meter/second),LGH4 LEVEL-1 (micro einstein m-2 s-1),RELH LEVEL-1 (%),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200310,0x3f,2025-01-17T18:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T18:54:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T19:00:01Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T19:14:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T19:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T19:34:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T19:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T19:54:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T20:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T20:14:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T20:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T20:34:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T20:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T20:54:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T21:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T21:14:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T21:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T21:34:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T21:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T21:43:30Z,49.3438,-0.3074,3.2,0,1033,-3,208.5,1.3,,0,0,0,,,,,,,,,,,,,001111117119411999999999999
6200310,0x3f,2025-01-17T22:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T22:03:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T22:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T22:23:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T22:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T22:43:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T23:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T23:03:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T23:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T23:23:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T23:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T23:43:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T00:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
